,State,Website,Email,Phone Number,Serving
28,AR,http://www.namiarkansas.org,help@namiarkansas.org,(800) 844-0381,"Counties of Benton, Washington, Madison, Carroll"
29,AR,http://www.namiarkansas.org,help@namiarkansas.org,(800) 844-0381,"Counties of Sebastian, Crawford, Scott, Polk, Franklin, Johnson, Logan, Yell"
30,AR,http://www.namiarkansas.org,help@namiarkansas.org,(800) 844-0381,"Counties of White, Prairie, Woodruff, Independence, Jackson"
31,CA,http://www.nami-alamedacounty.org,peggy.rahmannamiac@gmail.com,(510) 334-7721,Fremont through Oakland
32,CA,http://www.NAMIacs.org,info@namiacs.org,(510) 969-6479,N/A
33,CA,http://www.namiamador.org,namiamadorcares@gmail.com,(209) 256-1293,"Amador, Calaveras Counties"
34,CA,N/A,N/A,N/A,N/A
35,CA,http://www.namibuttecounty.org,cmphipps@csuchico.edu,(530) 894-8551,"Butte County, northern California"
36,CA,http://www.namicoachellavalley.org,namicoachellavalley@gmail.com,(442) 275-7385,"Banning, Palm Springs, Palm Desert, Indian Wells, Desert Hot Springs, Indio, Coachella, Salton Sea"
37,CA,http://www.namicontracosta.org,info@namicontracosta.org,(925) 942-0767,Contra Costa County
38,CA,http://www.namieastbay.org,namieastbay@gmail.com,(510) 524-1250,"California: Alameda County, West Contra Costa County"
39,CA,https://namieldoradocounty.org,f2fnami@gmail.com,(530) 306-4101,Placerville/El Dorado Hills/South Lake Tahoe CA
40,CA,http://www.namifresno.org,info@namifresno.org,(559) 224-2469,"Fresno, Madera, Kings Counties"
41,CA,http://www.namiglendale.org,namiglendale@gmail.com,(213) 797-0494,"Glendale, Burbank, Northeast Los Angeles"
42,CA,N/A,davispatricia0@gmail.com,(209) 736-4264,"Calaveras County, California"
43,CA,http://www.namiglac.org,info@namiglac.org,(213) 386-3615,N/A
44,CA,http://www.nami-humboldt.org,nami.humboldt@gmail.com,(707) 444-1600,Humboldt County
45,CA,N/A,N/A,N/A,High Desert/Barstow/Upland Area
46,CA,http://www.namikerncounty.org,namikern@yahoo.com,(661) 858-3255,Kern County
47,CA,N/A,N/A,N/A,N/A
48,CA,http://www.namilongbeach.org,nami@namilongbeach.org,(562) 435-2264,"Long Beach Area, Southwest Los Angeles County"
49,CA,http://www.namimarin.org,info@namimarin.org,(415) 444-0480,Marin County
50,CA,http://www.namimendocino.org,namimendocino@mcn.org,N/A,Mendocino County
51,CA,http://www.namimerced.org,namimerced2@gmail.com,(209) 789-6264,"Merced, Mariposa"
52,CA,http://www.namimonterey.org,info@namimonterey.org,(831) 422-6264,Monterey County
53,CA,http://namimtsanjacinto.org,brenda.scott@namimsj.org,(951) 765-1850,"Riverside County: Perris, Nuevo, San Jacinto, Hemet, Anza, Romoland, Winchester, Banning, Menifee"
54,CA,http://www.naminevadacounty.org,naminevadacounty@gmail.com,(530) 648-0178,"Nevada County, CA"
55,CA,http://www.namioc.org,info@namioc.org,(714) 544-8488,"Orange County, CA"
56,CA,http://www.namipc.org,namiplacercounty@gmail.com,N/A,"Placer County, CA, Roseville, Auburn, Tahoe City"
57,CA,http://www.namipv.org,admin@namipv.org,(909) 625-2383,"Pomona, Claremont, LaVerne and surrounding cities"
58,CA,https://namisacramento.org/,office@namisacramento.org,(916) 890-5467,Sacramento county
59,CA,http://www.namisb.org,info@namisb.org,(909) 654-4134,Greater San Bernardino Area
60,CA,http://www.namisandiego.org,information@namisd.org,(858) 634-6580,San Diego County
61,CA,http://www.namisfv.org,info@namisanfernandovalley.org,(818) 994-6747,San Fernando and Santa Clarita Valleys of Los Angeles
62,CA,http://www.namisf.org,info@namisf.org,(415) 237-0039,San Francisco
63,CA,http://www.namisangabrielvalley.org/,sgvnami@pacificclinics.org,(626) 577-6697,Los Angeles County
64,CA,http://www.namisanjoaquin.org,info@namisanjoaquin.org,(209) 468-3755,San Joaquin County
65,CA,http://www.namislo.org,namisanluisobispo@gmail.com,N/A,N/A
66,CA,http://www.namisanmateo.org,nami@namisanmateo.org,(650) 638-0800,San Mateo County
67,CA,http://www.namisantabarbara.org,rwinner@mentalwellnesscenter.org,(805) 884-8440,"Santa Barbara, Carpinteria, Goleta"
68,CA,http://www.namisantaclara.org,info@namisantaclara.org,(408) 453-0400,Santa Clara County
69,CA,http://www.namiscc.org,info@namiscc.org,(831) 824-0406,Santa Cruz County
70,CA,https://www.facebook.com/namishastacounty/,shasta.nami@gmail.com,(530) 691-4450,Northern California
71,CA,http://www.namisolanocounty.org,info@namisolanocounty.org,(707) 438-9510,Solano and Napa Counties
72,CA,http://namisonomacounty.org,info@namisoco.org,(866) 960-6264,Sonoma County
73,CA,http://www.namisouthbay.com,pstans5@aol.com,(310) 892-8046,South Bay of Los Angeles County
74,CA,http://www.namistanislaus.org,info@namistanislaus.org,(209) 558-4555,"Modesto, Turlock, Oakdale, Riverbank, Patterson, Hughson, Newman"
75,CA,http://www.namitv.org/,info@namitv.org,(951) 672-2089,"Lake Elsinore, Menifee, Murrieta, Sun City, Temecula, Wildomar, Winchester"
76,CA,http://www.nami-trivalley.org,marsha@nami-trivalley.org,N/A,"Livermore, Dublin, Pleasanton California"
77,CA,http://www.namitularecounty.org,dj1nelson@sbcglobal.net,N/A,Tulare County
78,CA,https://www.facebook.com/NAMITuolumneCounty,meleamy@hotmail.com,(209) 586-9351,N/A
79,CA,http://www.namiurbanla.org,info@namiurbanla.org,(323) 294-7814,"North to 101 Fwy, South to Rosecrans Ave, East to 710 Fwy, West to LaCienega Blvd"
80,CA,http://www.namiventura.org,info@namiventura.org,(805) 641-2426,Ventura County
81,CA,http://www.NAMIWesternRiverside.org,nami@namiwesternriverside.org,(951) 369-1913,"Corona, Norco, Eastvale, Mira Loma, Jurupa, Moreno Valley and Riverside"
82,CA,http://www.namila.org,info@namila.org,(310) 889-7200,Westside Los Angeles (Westwood)
83,CA,N/A,namiwhittier@aol.com,N/A,N/A
84,CA,http://www.namiyolo.org,friends@namiyolo.org,(530) 756-8181,Yolo County
85,CO,http://www.namiadco.org,president@namiadco.org,(303) 991-7688,"Arapahoe and Douglas Counties, Colorado"
86,CO,N/A,nami.aurora@gmail.com,(720) 277-9738,"City of Aurora, CO"
87,CO,http://www.namibouldercounty.org,info@namibouldercounty.org,(303) 443-4591,"Boulder, Broomfield, Louisville, Lafayette, Longmont"
88,CO,N/A,info@namichaffee.org,(970) 823-4751,"Chaffee County, Colorado and surrounding area"
89,CO,http://www.namicoloradosprings.org,info@namicos.org,(719) 473-8477,El Paso and Teller Counties
90,CO,http://www.namidenver.org,namidenver@gmail.com,(303) 504-6545,N/A
91,CO,http://www.NAMIHighCountryco.org,namihictryco@gmail.com,(970) 718-2828,Summit and Lake Counties
92,CO,http://www.namijeffco.org,namijeffco2015@gmail.com,(720) 809-5060,"Jefferson, Clear Creek and Gilpin Counties"
93,CO,http://namilarimer.org,wkever@comcast.net,(970) 282-8796,"Larimer County, Colorado"
94,CO,N/A,namirfv@gmail.com,(970) 945-1339,N/A
95,CO,N/A,nami.smo.chapter@gmail.com,(970) 708-7096,"San Miguel, Ouray, and the West End of Montrose County"
96,CO,http://www.namisoutheastco.org,namisoutheastco@gmail.com,(719) 315-4975,"Cañon City, Pueblo, La Junta"
97,CO,N/A,nami.greeley@yahoo.com,(970) 356-0733,Greeley and surrounding northeastern Colorado
98,CO,http://www.namiws.org,namiwesternslope@gmail.com,(970) 462-3989,Grand Junction
99,CT,https://www.facebook.com/NAMIElmCityCT/,elmcityaffiliate@namict.org,(203) 215-1034,Greater New Haven
100,CT,http://namifairfield.org,namifairfield@gmail.com,(203) 586-0826,"Fairfield, Westport, Bridgeport, Stratford, Shelton, Trumbull and nearby towns"
101,CT,http://www.NAMIFarmingtonvalley.org,president@namifarmingtonvalley.org,(860) 479-6264,Farmington Valley & Tobacco Valley of Connecticut
102,CT,https://www.facebook.com/NAMIManchesterCT/,flowermama43@gmail.com,N/A,N/A
103,CT,http://namishoreline.org,namishoreline@gmail.com,N/A,Branford to Old Lyme
104,CT,http://www.namisoutheastct.org,information@namisect.org,(860) 859-4658,New London County CT
105,CT,http://www.namisouthwestct.org,namisouthwestct@gmail.com,(203) 400-6264,lower Fairfield County
106,CT,http://www.namiwtby.org,N/A,(203) 758-5844,"Greater Waterbury, Torrington, Danbury area"
107,CT,N/A,billterri39@att.net,(860) 928-5947,N/A
108,DE,N/A,kent@namide.org,(302) 427-0787 (115),Kent County
109,DE,N/A,newcastle@namide.org,(302) 427-0787 (115),New Castle County
110,DE,N/A,N/A,N/A,Sussex County
111,FL,http://www.namibaycounty.org/,N/A,(850) 867-6210,"Bay and surrounding counties, Florida"
112,FL,http://www.namibrevard.org,namibrevard@gmail.com,(321) 345-6365,"Brevard County, FL"
113,FL,http://www.NAMIBroward.org,namibroward@gmail.com,(954) 316-9907,Broward County/Fort Lauderdale Florida
114,FL,http://www.namicitrus.org,support@namicitrus.org,(844) 687-6264,Citrus County
115,FL,http://www.namicollier.org,liz@namicollier.org,N/A,Collier County
116,FL,http://www.namigainesville.org,info@namigainesville.org,(352) 949-6925,Alachua and Levy Counties
117,FL,http://www.namigo.org,information@namigo.org,(407) 253-1900,"Orange, Osceola and Seminole Counties"
118,FL,http://namihernando.org,hope@namihernando.org,(352) 684-0004,Hernando County
119,FL,http://namihillsborough.org,support@namihillsborough.org,(813) 368-0813,Hillsborough County
120,FL,http://www.namijax.org,admin@namijax.org,(904) 724-7782,Duval and Clay
121,FL,http://www.namilee.org,info@namilee.org,(239) 337-9024,"Lee, Charlotte, and Hendry and Counties"
122,FL,http://www.namiocala.org,info@namiocala.org,(352) 368-2405,"Marion County, FL"
123,FL,http://www.namimartincounty.org,info@namimartincounty.org,(772) 285-0967,Martin County
124,FL,http://NAMIMiami.org,info@namimiami.org,(305) 665-2540,Throughout Miami-Dade County
125,FL,https://naminassauflorida.org/,naminassauflorida@gmail.com,(904) 277-1886,"Nassau County, Florida"
126,FL,https://www.namiow.org/,info@namiow.org,(850) 684-5259,Okaloosa and Walton Counties
127,FL,http://www.namipbc.org,info@namipbc.org,(561) 588-3477,Palm Beach County
128,FL,http://www.namipasco.org,executivedirector@namipasco.org,(727) 992-9653,Pasco County
129,FL,http://namipensacola.com,namipensacola@gmail.com,(850) 208-1609,"Escambia, Santa Rosa Counties"
130,FL,http://www.nami-pinellas.org,dwhitfield@nami-pinellas.org,(727) 826-0807,Pinellas County Florida
131,FL,N/A,namipolkcty@yahoo.com,(863) 513-0073,Polk County
132,FL,https://namisarasotamanatee.org/,info@namisarasotacounty.org,(941) 444-3428,"Sarasota and Manatee counties, FL"
133,FL,https://www.nami-tallahassee.org/,admin@nami-tallahassee.org,(850) 841-3386,Leon County
134,FL,http://www.namivfsj.org,support@namivfsj.org,(904) 827-7404,"Volusia, Flagler, St. Johns Counties"
135,GA,N/A,albanynami@gmail.com,(229) 329-1444,"Albany, GA and surrounding areas in Southwest GA"
136,GA,https://namiatlantaauburn.org,N/A,N/A,N/A
137,GA,http://namiaugusta.org/,augustanami@gmail.com,N/A,"Augusta, GA; Thomson, GA; North Augusta, Central Savannah River Area (CSRA)"
138,GA,N/A,namibaldwinga@gmail.com,(386) 846-9881,N/A
139,GA,http://www.namiofcentralga.org,marketing@namiofcentralga.org,(478) 328-0508,"Central Georgia, Warner Robins, Macon"
140,GA,http://www.namicobb.org,namicobb1@gmail.com,(404) 695-5333,Cobb County
141,GA,http://www.namicolumbusga.org,info@namicolumbusga.org,(706) 320-3755,"Columbus/Mucogee County, Ft. Benning, Georgia & Phenix City, Alabama"
142,GA,http://www.namidekalb.org,info@namidekalb.org,(404) 604-2350,N/A
143,GA,http://www.namifdl.org,namifdlga@gmail.com,(309) 310-8788,"Forsyth, Dawson & Lumpkin Counties"
144,GA,http://www.namigoldenisles.com,namigoldenisles@yahoo.com,(912) 580-9259,"Serving Georgia Counties: Glynn, Camden, McIntosh, Wayne, Brantley and Ware"
145,GA,http://namigwinnett.org/,namigwinnett@gmail.com,N/A,N/A
146,GA,http://NamiHall.org,namihallga@gmail.com,(770) 225-0804,Hall County and Northeast Georgia
147,GA,N/A,southsideovercomers@gmail.com,(404) 855-0608,Henry and Fayette counties in Georgia
148,GA,N/A,tmlynch0810@gmail.com,(229) 429-4812,Colquitt County
149,GA,http://www.naminorthsideatlanta.org,naminorthsideatlanta@gmail.com,N/A,"Buckhead, Vinings, Sandy Springs, Dunwoody, Alpharetta, Roswell, Milton, Johns Creek and beyond"
150,GA,N/A,rockdalenewtonnami@gmail.com,(470) 665-6808,"Rockdale, Newton, Walton, Morgan, Jasper, and Butts Counties, Georgia"
151,GA,http://www.namiromega.org,namiromega@gmail.com,(706) 506-5010,NW Georgia
152,GA,http://www.namisavannah.org,nami-savannah@namisavannah.org,(912) 353-7143,N/A
153,GA,N/A,nami.statesboro.ga@gmail.com,(912) 536-4448,Bulloch County
154,GA,N/A,namigeorgia@namiga.org,N/A,"Blue Ridge, Ellijay, Jasper, Blairsville"
155,HI,N/A,bigisland@namihawaii.org,(808) 756-6697,"Hilo, Kona, and N. Kohala"
156,HI,http://www.namikauai.com,info@namikauai.org,(808) 635-3239,Kauai
157,HI,N/A,maui@namihawaii.org,N/A,Maui
158,HI,N/A,oahu@namihawaii.org,(808) 591-1297,"The Island of Oahu, Hawaii"
159,ID,http://cdanami.org,namicda@gmail.com,(208) 691-9674,Coeur d’Alene area
160,ID,http://www.namifarnorth.org,namifarnorth2003@gmail.com,(208) 597-2047,North Idaho
161,ID,http://www.namitreasurevalley.org,admin@tvnami.org,(208) 801-1609,Treasure Valley
162,ID,http://www.namiuv.com,namiuppervalley@aol.com,(208) 757-8300,"Bonneville, Bingham, Jefferson, Madison, Custer, Butte, Teton, Fremont, Clark, Lemhi"
163,ID,http://www.namiwrv.org,info@namiwrv.org,(208) 481-0686,N/A
164,IL,http://www.namiba.org,info@namiba.org,(847) 496-1415,"Barrington Area, Lake Zurich, Kildeer, Deer Park, Buffalo Grove"
165,IL,http://www.namichampaign.org,info@namichampaign.org,N/A,"Champaign, Vermilion, Coles, Douglas, Effingham, & Ford counties"
166,IL,http://www.NAMIChicago.org,info@namichicago.org,(312) 563-0445,Greater Chicago Area
167,IL,http://www.namiccns.org,admin@namiccns.org,(847) 716-2252,Northern Cook County
168,IL,http://www.namidupage.org,il@namidupage.org,(630) 752-0066,DuPage County and Surrounding Areas
169,IL,http://jacksoncounty.nami.org,namijcil@gmail.com,N/A,Jackson and neighboring counties in Southern Illinois
170,IL,http://www.namikcn.org,namikcn@gmail.com,(847) 410-9719,"Northern Kane County, IL"
171,IL,http://www.namikdk.org,info@namikdk.org,(630) 896-6264,"Kane County south (including St. Charles, Geneva, Batavia, Aurora), DeKalb County & Kendall County"
172,IL,http://www.namilake-il.org,namisupport@hotmail.com,(847) 249-1515,Lake County
173,IL,http://www.namimch.org,info@namimch.org,(815) 308-0851,McHenry County
174,IL,http://www.namimetsub.org,info@namimetsub.org,(708) 524-2582,West Suburban Cook County
175,IL,http://namimidcentral.org,namimidcentralil@gmail.com,(309) 336-7396,"Bloomington, Normal, Pontiac, IL"
176,IL,http://www.naminorthernillinois.org,naminorthernillinois@gmail.com,(815) 963-2470,Winnebago/Boone Counties
177,IL,http://www.namisaukarea.org,namisaukarea@gmail.com,(815) 761-7654,"Carroll, Lee, Ogle, Whiteside Counties and surrounding areas"
178,IL,http://www.namischaumburgarea.org,namiegsch@yahoo.com,(630) 363-1846,"Schaumburg, Hoffman Estates, Elk Grove, Hanover Park"
179,IL,http://www.namisouthsuburbsofchicago.org,namisouthsuburbsofchicago@gmail.com,(708) 852-9126,South and Southwest Suburbs of Chicago
180,IL,http://namiswi.org,info@namiswi.org,(618) 798-9788,Bond/Clinton/Macoupin/Madison/Randolph/St. Clair
181,IL,http://www.namitri-countyillinois.org,N/A,(309) 693-0541,"Peoria, Tazewell and Woodford Counties"
182,IL,http://www.namiwillgrundy.org,info@namiwillgrundy.org,(815) 409-7917,Will County & Grundy County
183,IN,https://www.namidelawarecounty.com/,info@namidelawarecounty.com,(800) 677-6442,"Delaware County, Indiana"
184,IN,N/A,namielkhartcounty@gmail.com,N/A,Elkhart County
185,IN,http://www.namievansville.org,lgback@twc.com,(812) 897-1694,N/A
186,IN,http://www.namifortwayne.org,office@namifortwayne.org,(260) 447-8990,Northeast Indiana
187,IN,N/A,vsharann@yahoo.com,(765) 664-7792,N/A
188,IN,http://namigreaterbloomingtonarea.org,namigreaterbloomingtonarea@gmail.com,N/A,South Central Indiana
189,IN,http://www.namiindy.org,info@namiindy.org,(317) 257-7517,Central Indiana
190,IN,N/A,namikokomo@gmail.com,N/A,N/A
191,IN,http://www.NAMILakeCountyIN.org,nami@namilakecountyin.org,(219) 513-9457,"Lake County, Indiana"
192,IN,N/A,pparrissr@sbcglobal.net,(765) 622-9864,"Madison County, Indiana"
193,IN,N/A,info@namiindiana.org,(317) 925-9399,Columbus
194,IN,http://namisein.com,donnag@t-mac-cad.com,(812) 667-5429,N/A
195,IN,http://www.namisjc.org,namisjc21@gmail.com,N/A,St. Joseph County and surrounding areas
196,IN,N/A,namivigocounty24@gmail.com,(317) 509-7820,"Vigo County, IN"
197,IN,http://www.nami-wci.org,office@nami-wci.org,(765) 423-6939,"Benton, Carroll, Clinton, Fountain, Montgomery, Tippecanoe, Warren, and White Counties, Indiana"
198,IA,https://sites.google.com/site/namiblackhawkcounty/,namibh@qwestoffice.net,(319) 235-5263,"Cedar Falls, Waterloo, and Blackhawk County"
199,IA,N/A,namicarrollco@gmail.com,(712) 830-8705,Carroll County
200,IA,http://www.namicentraliowa.org,namiofci@gmail.com,(515) 292-9400,"Hancock, Wright, Webster, Franklin, Hamilton, Hardin, Greene, Boone, Story, Marshall, Jasper, Poweshiek, Madison, Warren"
201,IA,http://www.namidubuque.org,namidbq@gmail.com,(563) 557-6264,Tri-state Area
202,IA,http://www.namigmv.org,coordinator@namigmv.org,,Eastern Iowa and Western Illinois
203,IA,http://www.namijc.org,mary.issah@namijc.org,(319) 337-5400,Johnson County
204,IA,http://namilinncounty.org/,nami-lc@hotmail.com,(319) 221-1184,Linn County
205,IA,http://www.naminorthiowa.org,naminorthiowa@gmail.com,(641) 201-8450,Cerro Gordo County
206,IA,http://www.namineiowa.org,namineiowa@gmail.com,(563) 293-6264,"Howard, Winneshiek, Fayette, Clayton, Allamakee"
207,IA,https://naminwia.org,namiofnwia@gmail.com,(712) 357-5428,"Lyon, Osceola, Dickinson, Emmet, Sioux, O'Brien, Clay, Palo Alto, Buena Vista and Cherokee Counties"
208,IA,N/A,namipolkcountyiowa@gmail.com,(515) 254-0417,"Polk County, IA"
209,IA,N/A,namisci8@gmail.com,(641) 216-3114,"Appanoose,Davis,Wapello, Mahaska, Marion, Clarke, Lucas, Monroe, Ringgold, Decatur, Wayne"
210,IA,N/A,namisoutheastiowa@gmail.com,(319) 750-2220,"Des Moines, Henry, Keokuk, Jefferson, Lee, Louisa, Van Buren, and Washington Counties"
211,IA,https://namisouthwestiowa.com,namiswiowa@gmail.com,(712) 542-7904,"Fremont, Page, Mills, Cass, Montgomery, Harrison, Shelby, Monona, and Pottawattamie counties"
212,KS,https://namikansas.org/about-nami-kansas/affiliates-support-groups/,namibutlercountyks@gmail.com,(785) 214-4361,Butler County
213,KS,https://www.facebook.com/namicentralkansas/,centralkansas@namikansas.org,(785) 214-4278,"Saline, Dickenson, Ottawa, Ellsworth, and Lincoln Counties"
214,KS,N/A,nami.dgco@gmail.com,(785) 842-7271,"Douglas County, Kansas"
215,KS,N/A,nami.ks.flinthills@gmail.com,(785) 477-5828,"Riley County, Pottawatomie County, Geary County"
216,KS,N/A,hudsonpillar60@gmail.com,(785) 259-6859,Ellis County
217,KS,http://www.namijoco.org,namijoco@gmail.com,(913) 210-0630,Johnson County
218,KS,N/A,brenda2adams@yahoo.com,(800) 539-2660,"Wyandotte County and Kansas City, Kansas"
219,KS,N/A,namimidkansas@namikansas.org,(785) 214-4264,"Harvey County, Marion & McPherson Counties"
220,KS,N/A,namilvn@yahoo.com,(913) 683-4571,"Leavenworth, Atchison & Jefferson Counties"
221,KS,N/A,namireno@gmail.com,(620) 869-1770,Reno County
222,KS,N/A,seknami@gmail.com,N/A,Crawford County
223,KS,http://www.namitopeka.org,topekanami@gmail.com,(785) 580-3021,Shawnee County
224,KS,http://www.namiwichita.org,info@namiwichita.org,(316) 686-1373,"Wichita, Sedgwick County"
225,KY,https://www.facebook.com/NAMIADVOCATE/,bowlinggreennami@gmail.com,(270) 883-0036,"Logan, Simpson, Allen, Monroe, Metcalf, Barren, Warren, Edmonson, Butler, Hart"
226,KY,N/A,sharon@namibuffalotrace.org,(606) 759-4010,"Bracken, Mason, Robertson, Fleming & Lewis"
227,KY,N/A,steven.hoeck@yahoo.com,(606) 282-3793,"Rockcastle, Jackson, Laurel, Clay, Knox & Whitley"
228,KY,N/A,ky40330@hotmail.com,(859) 265-1590,"Boyle, Mercer"
229,KY,N/A,namigreenriver@gmail.com,(270) 619-2461,N/A
230,KY,N/A,namihazardky@yahoo.com,(606) 233-4372,"Letcher, Leslie Perry, Knott, Breathitt, Owsley Lee and Wolf"
231,KY,N/A,phyllisjackson0203@comcast.net,(270) 900-7177,N/A
232,KY,N/A,hoptownnami@gmail.com,(364) 999-9599,"Crittenden, Lyon, Trigg, Christian, Todd, Muhlenberg, Caldwell"
233,KY,http://www.namilexington.org,namimail@namilex.org,(859) 272-7891,Bluegrass Region
234,KY,http://www.namilouisville.org,namilou@namilouisville.org,(502) 588-2008,"Trimble, Oldham, Henry, Shelby, Jefferson, Bullitt, Spencer"
235,KY,N/A,myrandamcclure@sjhlex.org,(859) 986-6301,N/A
236,KY,N/A,savedn82@gmail.com,N/A,N/A
237,KY,N/A,camauriello@moreheadstate.edu,(606) 356-9194,Eastern KY
238,KY,N/A,mary.prater@mtcomp.org,N/A,Mountain
239,KY,N/A,brenda.benson@murraystate.edu,(270) 748-6133,Calloway County
240,KY,http://naminky.org,info@naminky.org,(859) 392-1730,"Boone, Carroll, Kenton, Campbell, Owen, Gallatin, Pendleton, and Grant Counties"
241,KY,N/A,rhoda.eldot@gmail.com,(859) 221-3465,N/A
242,KY,N/A,namiky@namiky.org,(270) 816-2671,N/A
243,KY,N/A,namiky@namiky.org,(800) 257-5081,"Pulaski, Wayne, Russell, McCreary, Taylor, Green, Casey, Adair, Cumberland Clinton,"
244,KY,N/A,bebe1@bellsouth.net,(859) 737-3384,Clark
245,LA,http://www.namiacadiana.org,nami@namiacadiana.org,(337) 504-4752,Seven Parish area of Acadiana District (formerly LA Region IV)
246,LA,http://www.namibr.org,info@namibr.org,(225) 252-7434,"East & West Baton Rouge, Ascension, Pointe Coupee, West Feliciana, East Feliciana, Iberville Parish"
247,LA,http://www.namineworleans.org,namino@namineworleans.org,(504) 896-2345,"Orleans, Jefferson, St. Bernard & Plaquemines Parishes"
248,LA,http://www.namiruston.org,washington.jerrilene1922@gmail.com,(318) 247-3982,"Lincoln, Claiborne, Bienville, Union, Ouachita, Jackson"
249,LA,https://www.facebook.com/swlanami/,cbankens@namiswla.org,(337) 433-0219,"Calcasieu, Cameron, Jeff Davis, Allen & Beauregard Parishes"
250,LA,http://www.namisttammany.org,info@namisttammany.org,(985) 626-6538,Southeast Louisiana
251,ME,http://www.namimaine.org,nancy@namimaine.org,(800) 464-5767,Penobscot County
252,ME,N/A,tjmorgan3@gmail.com,(207) 798-5891,Greater Bath/Brunswick area
253,ME,N/A,N/A,(800) 464-5767,Kennebec County/Skowhegan area
254,ME,N/A,bethranagan@gmail.com,(207) 924-7903,Piscataquis County
255,ME,http://www.namimaine.org/?page=NAMIPortland,namiportland@gmail.com,N/A,Greater Portland area
256,ME,N/A,nancy@namimaine.org,(800) 464-5767,Oxford and Franklin Counties
257,ME,N/A,N/A,(207) 467-5375,York County
258,MD,http://www.namiaac.org,info@namiaac.org,(443) 569-3498,Anne Arundel County
259,MD,http://www.namiccmd.org,namicarrollcounty@gmail.com,(410) 857-3650,Carroll County
260,MD,http://www.namifrederick.org,info@namifcmd.org,(240) 379-6186,Frederick County
261,MD,N/A,scrimmins@namimd.org,N/A,Harford County
262,MD,http://www.namihowardcounty.org,info.namihc@gmail.com,(410) 772-9300,Howard County
263,MD,N/A,namikentandqueenannes@gmail.com,(443) 480-0565,Kent and Queen Anne's counties
264,MD,N/A,namimdls@gmail.com,(443) 614-6739,"Worcester, Wicomico & Somerset Counties"
265,MD,http://www.namibaltimore.org,info@namibaltimore.org,(410) 435-2600,Baltimore City and Baltimore County
266,MD,http://www.namimc.org,info@namimc.org,(301) 949-5852,Montgomery County
267,MD,http://www.namipgc.org,nami.pgcmd1@gmail.com,(240) 467-5948,"Prince George’s County, Maryland"
